Time,DayOfWeek,Motion,Acceleration,Temperature
13:53:54.641,4,inactive,inactive,73
14:54:9.094,0,inactive,inactive,62
09:29:43.859,3,inactive,inactive,67
12:07:47.004,0,inactive,active,68
09:20:4.064,2,active,inactive,60
14:13:19.173,2,inactive,inactive,72
10:27:6.507,2,active,inactive,73
04:31:30.746,1,inactive,inactive,63
14:37:57.38,2,inactive,inactive,65
10:26:0.002,2,inactive,inactive,65
14:02:48.915,1,active,inactive,69
14:53:36.137,3,inactive,inactive,68
07:30:52.322,4,inactive,inactive,69
10:36:44.475,2,inactive,inactive,69
10:37:26.157,0,inactive,inactive,69
13:21:13.869,0,active,inactive,62
09:59:59.7,4,inactive,active,68
15:29:59.197,3,inactive,active,70
13:20:40.91,0,inactive,inactive,73
11:20:32.822,4,inactive,inactive,65
15:59:29.098,3,inactive,active,69
10:59:46.481,0,active,inactive,60
10:59:51.184,4,inactive,inactive,68
16:30:8.517,3,inactive,inactive,71
01:59:54.896,6,active,inactive,66
05:23:25.711,5,inactive,active,62
15:29:42.314,1,inactive,inactive,73
16:43:49.964,0,inactive,inactive,66
16:18:56.845,0,inactive,inactive,65
15:20:57.514,1,inactive,inactive,72
12:16:41.932,1,inactive,inactive,73
10:55:15.469,2,inactive,inactive,65
14:38:56.359,3,inactive,inactive,73
10:59:24.009,0,inactive,active,72
07:58:12.546,5,inactive,inactive,60
12:09:53.398,3,inactive,active,61
00:08:16.476,6,active,inactive,68
09:11:9.306,2,inactive,inactive,60
15:16:0.644,0,active,inactive,65
15:34:33.063,1,inactive,inactive,67
07:27:29.643,6,inactive,inactive,65
11:49:31.681,0,inactive,active,61
05:30:12.395,1,active,inactive,72
11:11:51.601,3,inactive,inactive,68
11:13:52.41,0,inactive,active,64
06:39:34.771,6,inactive,inactive,70
09:19:6.752,0,active,inactive,64
13:15:10.955,0,active,inactive,64
11:55:50.019,4,inactive,inactive,62
12:40:35.961,3,inactive,inactive,74
15:06:24.432,3,active,inactive,72
11:41:27.311,2,inactive,inactive,71
11:10:5.241,0,inactive,inactive,74
15:16:4.013,2,inactive,inactive,65
10:50:59.883,3,inactive,inactive,66
09:52:25.229,2,inactive,inactive,72
14:23:34.25,1,inactive,inactive,66
12:34:50.787,2,inactive,inactive,62
06:28:31.246,6,active,inactive,66
21:54:57.936,4,active,inactive,69
12:06:52.935,0,inactive,inactive,67
11:22:8.881,4,inactive,active,60
11:48:37.454,1,inactive,active,74
15:51:12.117,0,inactive,active,69
10:55:21.398,0,active,active,74
13:15:49.831,3,inactive,inactive,66
08:15:59.308,0,active,active,60
11:45:51.059,3,inactive,inactive,61
15:08:27.714,1,inactive,inactive,63
14:42:39.313,0,inactive,inactive,69
11:10:24.701,2,inactive,active,64
15:33:17.225,2,inactive,active,69
03:09:11.778,6,inactive,inactive,66
00:19:3.376,5,inactive,inactive,67
13:39:6.741,0,inactive,inactive,61
01:48:19.568,6,active,inactive,66
15:49:16.179,2,inactive,inactive,63
12:12:25.348,2,inactive,inactive,72
10:01:37.402,1,inactive,inactive,60
12:38:37.21,2,inactive,inactive,63
10:48:7.865,4,inactive,inactive,70
11:03:22.479,4,inactive,inactive,64
15:20:14.647,2,active,inactive,74
09:13:34.803,3,inactive,inactive,67
13:26:33.693,3,inactive,inactive,70
13:22:9.072,4,inactive,inactive,61
09:50:48.477,3,inactive,inactive,71
13:35:27.021,4,inactive,inactive,63
13:53:36.173,2,active,inactive,64
13:44:42.423,0,inactive,inactive,63
00:27:11.606,5,inactive,inactive,66
12:26:53.074,4,inactive,inactive,64
11:43:35.517,1,active,inactive,66
13:11:11.604,4,inactive,active,71
14:27:50.63,4,inactive,active,70
09:35:21.907,2,inactive,inactive,60
16:43:15.347,0,inactive,active,70
11:11:44.648,1,inactive,inactive,73
02:52:10.615,4,active,inactive,70
14:37:52.651,0,active,inactive,65
11:41:44.047,0,inactive,inactive,63
04:51:10.04,5,active,inactive,64
12:03:43.434,3,inactive,active,71
15:16:16.355,3,inactive,inactive,61
16:21:53.469,1,inactive,active,68
09:19:16.963,2,inactive,inactive,73
16:20:29.071,2,active,inactive,69
13:18:29.311,2,inactive,inactive,65
