Time,DayOfWeek,Motion,Acceleration,Temperature
03:07:49.88,1,active,active,81
03:37:59.923,4,active,active,83
03:29:5.961,0,active,active,81
04:38:21.53,3,active,active,82
03:41:48.866,3,active,active,85
04:53:19.3,3,active,active,79
01:38:37.933,3,active,active,77
11:17:50.363,3,active,active,77
20:18:26.267,0,active,active,80
04:59:53.194,3,active,active,79
00:22:44.757,3,active,active,88
02:19:7.201,2,active,active,80
13:26:13.48,1,active,active,82
12:45:39.705,4,active,active,79
04:27:48.427,2,active,active,80
15:44:55.638,3,active,active,80
13:01:31.69,2,active,active,78
11:29:49.809,3,active,active,81
10:32:39.438,4,active,active,77
10:43:53.75,3,active,active,84
01:10:13.805,3,active,active,87
15:22:10.534,4,active,active,83
00:49:52.08,3,active,active,80
04:10:4.221,4,active,active,81
00:08:23.87,2,inactive,inactive,85
02:20:24.583,3,active,active,83
02:29:56.659,3,active,active,79
11:35:59.129,0,active,active,85
13:23:48.378,4,active,inactive,84
12:03:2.698,3,active,active,83
02:39:39.9,4,active,active,78
00:58:24.429,1,active,inactive,81
03:23:4.51,2,active,active,85
01:20:38.473,1,active,active,81
15:32:29.661,4,active,active,79
10:07:38.059,3,active,active,81
10:24:16.006,0,active,active,82
03:13:44.91,1,active,active,79
00:15:58.963,0,active,active,79
04:03:16.885,2,active,active,80
01:18:40.571,1,active,inactive,77
11:04:40.073,3,active,active,79
00:25:28.293,1,active,active,77
00:14:12.414,0,active,active,86
01:00:11.51,3,active,active,85
03:31:1.577,1,active,active,80
00:06:51.81,1,active,active,82
13:08:43.523,1,active,active,85
01:58:52.65,0,active,active,81
12:40:2.725,4,active,active,79
03:12:29.736,4,active,active,83
02:32:0.658,1,active,active,80
10:01:49.172,2,active,active,81
02:18:54.446,4,active,active,80
00:20:42.059,3,active,active,78
01:08:37.279,3,active,active,80
01:39:44.025,3,active,active,88
03:23:50.948,1,active,active,79
03:23:30.818,2,active,active,80
14:10:30.189,4,inactive,inactive,83
15:41:3.141,1,active,active,79
04:08:39.219,1,active,active,79
09:50:8.905,2,active,active,78
11:51:24.541,1,active,active,81
01:02:43.003,3,active,active,82
10:31:28.538,3,active,active,78
11:54:0.539,2,active,active,83
02:42:10.691,4,active,active,83
04:41:52.711,1,active,active,78
03:44:13.167,2,active,active,82
00:23:35.262,3,active,active,78
09:56:45.293,1,inactive,inactive,78
09:40:22.845,1,active,active,83
04:07:6.216,1,active,active,83
02:17:15.37,0,active,active,78
12:41:25.695,3,active,active,86
13:48:4.362,3,active,active,74
04:47:23.592,0,active,active,83
02:38:54.104,1,active,active,82
09:13:56.299,1,active,active,81
03:07:52.167,3,active,active,81
23:22:55.624,1,active,active,79
03:56:5.167,3,active,active,79
10:27:12.013,1,active,active,81
03:22:39.183,1,active,active,77
16:15:12.629,2,active,active,86
03:46:30.649,3,active,active,77
14:12:42.939,4,active,active,82
04:50:53.963,3,active,active,77
04:51:22.667,1,active,active,85
15:54:50.24,3,active,active,78
00:15:11.714,1,active,active,81
03:18:44.83,2,active,active,74
11:00:36.969,0,active,inactive,83
12:04:52.864,3,inactive,inactive,84
00:43:40.43,2,active,active,80
00:11:2.012,2,active,active,82
09:44:49.784,0,active,active,83
04:59:18.239,4,active,active,83
14:11:55.125,4,active,active,83
03:38:4.002,3,active,active,81
01:54:47.481,3,active,active,82
12:33:23.099,0,active,active,76
04:48:51.196,1,active,active,89
09:45:35.348,2,active,active,79
16:59:2.99,2,inactive,active,77
14:15:26.527,2,active,active,84
04:33:40.269,2,active,active,81
00:03:35.248,1,active,active,82
