,Time,DayOfWeek,Motion,Acceleration,Temperature
0,00:00:31.133,0,active,active,72
1,00:01:1.169,0,inactive,inactive,69
2,00:01:13.657,0,active,active,74
3,00:01:20.302,0,active,active,71
4,00:01:43.669,0,active,active,72
5,00:01:57.116,0,active,active,75
6,00:02:13.918,0,active,active,71
7,00:02:17.852,0,active,inactive,69
8,00:02:18.053,0,active,active,74
9,00:02:23.542,0,active,active,74
10,00:02:44.013,0,active,active,75
11,00:02:58.302,0,active,active,76
12,00:03:7.948,0,active,active,73
13,00:05:22.933,0,active,inactive,74
14,00:06:1.152,0,active,active,68
15,00:06:2.366,0,active,active,71
16,00:06:25.637,0,active,active,64
17,00:06:36.299,0,active,active,72
18,00:06:38.886,0,active,active,72
19,00:07:10.954,0,active,active,70
20,00:07:20.222,0,active,active,72
21,00:07:48.336,0,active,active,75
22,00:07:57.044,0,active,active,75
23,00:08:2.488,0,inactive,inactive,70
24,00:08:6.327,0,active,active,71
25,00:08:10.473,0,active,active,75
26,00:08:18.156,0,active,active,75
27,00:08:19.25,0,active,active,70
28,00:08:22.785,0,active,active,71
29,00:08:39.117,0,active,active,74
30,00:08:46.341,0,active,active,74
31,00:08:52.982,0,active,active,70
32,00:09:13.911,0,active,active,75
33,00:09:28.34,0,active,active,69
34,00:09:38.775,0,active,active,74
35,00:10:25.822,0,inactive,inactive,70
36,00:11:14.18,0,active,active,69
37,00:11:40.743,0,active,active,78
38,00:11:56.362,0,active,active,73
39,00:12:26.795,0,active,active,70
40,00:12:37.022,0,active,active,74
41,00:12:51.555,0,active,active,74
42,00:12:54.905,0,active,active,71
43,00:12:55.994,0,active,active,70
44,00:12:56.255,0,active,active,78
45,00:13:3.343,0,inactive,inactive,73
46,00:13:11.432,0,active,inactive,73
47,00:13:24.114,0,active,active,77
48,00:13:26.031,0,active,active,77
49,00:13:31.372,0,active,active,71
50,00:13:33.834,0,active,active,72
51,00:13:35.733,0,active,active,74
52,00:13:48.828,0,inactive,active,73
53,00:13:50.408,0,active,active,74
54,00:14:1.434,0,active,inactive,70
55,00:14:12.414,0,active,active,76
56,00:14:23.528,0,active,active,74
57,00:14:25.813,0,active,active,71
58,00:14:50.382,0,active,active,72
59,00:14:59.855,0,active,active,69
60,00:15:11.957,0,active,active,78
61,00:15:15.663,0,active,active,69
62,00:15:29.332,0,inactive,inactive,67
63,00:15:58.963,0,active,active,76
64,00:16:11.57,0,active,active,75
65,00:17:1.761,0,inactive,inactive,77
66,00:17:10.105,0,active,active,73
67,00:17:23.759,0,active,active,73
68,00:17:42.964,0,active,active,78
