,Time,DayOfWeek,Motion,Acceleration,Temperature,time_transformed,label
7329,11:55:38.984,3,active,active,85,42938.984,1
7330,11:56:6.328,3,active,active,83,42966.328,1
7331,11:56:48.418,3,active,active,77,43008.418,1
7332,11:57:2.012,3,active,active,84,43022.012,1
7333,11:57:18.329,3,active,active,78,43038.329,1
7334,11:57:53.231,3,active,active,77,43073.231,1
7335,11:58:0.197,3,active,inactive,83,43080.197,1
50035,11:58:10.18,3,inactive,inactive,72,43090.18,0
50036,11:58:17.055,3,inactive,inactive,76,43097.055,0
50037,11:58:20.5,3,inactive,inactive,74,43100.5,0
50038,11:58:21.974,3,inactive,inactive,71,43101.974,0
50039,11:58:22.433,3,inactive,inactive,72,43102.433,0
50040,11:58:28.123,3,inactive,inactive,72,43108.123,0
50041,11:58:31.153,3,inactive,active,74,43111.153,0
50042,11:58:37.177,3,inactive,inactive,75,43117.177,0
50043,11:58:41.358,3,inactive,inactive,74,43121.358,0
50044,11:58:43.904,3,inactive,inactive,68,43123.904,0
50045,11:58:45.122,3,inactive,inactive,66,43125.122,0
50046,11:58:49.797,3,inactive,inactive,71,43129.797,0
50047,11:58:56.57,3,inactive,inactive,70,43136.57,0
50048,11:58:58.898,3,inactive,inactive,75,43138.898,0
50049,11:59:7.263,3,inactive,inactive,71,43147.263,0
50050,11:59:15.335,3,inactive,inactive,67,43155.335,0
50051,11:59:28.952,3,inactive,inactive,76,43168.952,0
50052,11:59:33.688,3,inactive,inactive,73,43173.688,0
50053,11:59:36.417,3,inactive,inactive,72,43176.417,0
50054,11:59:36.915,3,inactive,inactive,66,43176.915,0
50055,12:00:1.967,3,inactive,inactive,72,43201.967,0
50056,12:00:7.697,3,inactive,inactive,78,43207.697,0
50057,12:00:14.375,3,inactive,inactive,72,43214.375,0
50058,12:00:20.015,3,active,active,74,43220.015,0
50059,12:00:20.558,3,inactive,inactive,67,43220.558,0
50060,12:00:22.274,3,inactive,active,71,43222.274,0
50061,12:00:23.615,3,inactive,inactive,76,43223.615,0
50062,12:00:24.022,3,inactive,inactive,71,43224.022,0
