,Time,DayOfWeek,Motion,Acceleration,Temperature
1,29:43.9,3,inactive,inactive,67
2,0:07:47,0,inactive,active,68
3,31:30.7,1,inactive,inactive,63
4,37:57.4,2,inactive,inactive,65
5,0:26:00,2,inactive,inactive,65
6,02:48.9,1,active,inactive,69
7,53:36.1,3,inactive,inactive,68
8,30:52.3,4,inactive,inactive,69
9,36:44.5,2,inactive,inactive,69
10,37:26.2,0,inactive,inactive,69
11,21:13.9,0,active,inactive,62
12,59:59.7,4,inactive,active,68
13,29:59.2,3,inactive,active,70
14,20:32.8,4,inactive,inactive,65
15,59:29.1,3,inactive,active,69
16,59:51.2,4,inactive,inactive,68
17,30:08.5,3,inactive,inactive,71
18,59:54.9,6,active,inactive,66
19,23:25.7,5,inactive,active,62
20,0:43:50,0,inactive,inactive,66
21,18:56.8,0,inactive,inactive,65
22,55:15.5,2,inactive,inactive,65
23,08:16.5,6,active,inactive,68
24,16:00.6,0,active,inactive,65
25,34:33.1,1,inactive,inactive,67
26,27:29.6,6,inactive,inactive,65
27,11:51.6,3,inactive,inactive,68
28,13:52.4,0,inactive,active,64
29,39:34.8,6,inactive,inactive,70
30,19:06.8,0,active,inactive,64
31,0:15:11,0,active,inactive,64
32,0:55:50,4,inactive,inactive,62
33,41:27.3,2,inactive,inactive,71
34,0:16:04,2,inactive,inactive,65
35,50:59.9,3,inactive,inactive,66
36,23:34.3,1,inactive,inactive,66
37,34:50.8,2,inactive,inactive,62
38,28:31.2,6,active,inactive,66
39,54:57.9,4,active,inactive,69
40,06:52.9,0,inactive,inactive,67
41,51:12.1,0,inactive,active,69
42,15:49.8,3,inactive,inactive,66
43,08:27.7,1,inactive,inactive,63
44,42:39.3,0,inactive,inactive,69
45,10:24.7,2,inactive,active,64
46,33:17.2,2,inactive,active,69
47,09:11.8,6,inactive,inactive,66
48,19:03.4,5,inactive,inactive,67
49,48:19.6,6,active,inactive,66
50,49:16.2,2,inactive,inactive,63
51,38:37.2,2,inactive,inactive,63
52,48:07.9,4,inactive,inactive,70
53,03:22.5,4,inactive,inactive,64
54,13:34.8,3,inactive,inactive,67
55,26:33.7,3,inactive,inactive,70
56,50:48.5,3,inactive,inactive,71
57,0:35:27,4,inactive,inactive,63
58,53:36.2,2,active,inactive,64
59,44:42.4,0,inactive,inactive,63
60,27:11.6,5,inactive,inactive,66
61,26:53.1,4,inactive,inactive,64
62,43:35.5,1,active,inactive,66
63,11:11.6,4,inactive,active,71
64,27:50.6,4,inactive,active,70
65,43:15.3,0,inactive,active,70
66,52:10.6,4,active,inactive,70
67,37:52.7,0,active,inactive,65
68,0:41:44,0,inactive,inactive,63
69,0:51:10,5,active,inactive,64
70,03:43.4,3,inactive,active,71
71,21:53.5,1,inactive,active,68
72,20:29.1,2,active,inactive,69
73,18:29.3,2,inactive,inactive,65
74,43:50.3,1,active,active,69
75,27:07.7,0,inactive,active,62
76,48:19.3,6,inactive,inactive,62
77,49:27.1,4,inactive,inactive,71
78,20:16.2,2,inactive,active,70
79,00:38.5,0,inactive,inactive,65
80,27:55.9,3,inactive,inactive,65
81,22:43.3,5,inactive,active,64
82,20:10.6,6,inactive,inactive,62
83,12:51.8,1,inactive,inactive,69
84,0:48:01,3,inactive,inactive,66
85,55:44.9,0,inactive,inactive,69
86,30:10.8,1,inactive,active,63
87,41:38.1,2,active,inactive,65
88,59:19.6,2,inactive,inactive,67
89,05:58.4,2,active,inactive,68
90,57:40.2,0,active,active,70
91,24:00.8,2,inactive,inactive,65
92,0:20:24,6,inactive,active,66
93,00:59.9,3,inactive,inactive,62
94,28:16.9,2,inactive,inactive,65
95,0:50:48,3,active,inactive,62
96,50:46.9,3,active,inactive,71
97,13:25.3,0,inactive,active,70
98,04:49.5,0,inactive,inactive,65
99,57:12.5,4,inactive,inactive,70
100,41:18.3,6,inactive,inactive,71
101,04:35.4,1,inactive,inactive,68
102,37:32.5,1,inactive,active,68
103,0:32:15,2,inactive,inactive,69
104,14:13.9,2,active,inactive,67
105,30:40.6,4,inactive,inactive,66
106,22:33.3,2,inactive,inactive,70
107,55:35.6,0,inactive,inactive,70
108,51:57.4,3,inactive,inactive,71
109,58:13.3,6,inactive,active,67
110,30:45.1,1,inactive,inactive,64
111,55:57.6,2,inactive,inactive,64
112,09:53.9,2,inactive,inactive,65
113,36:21.3,6,inactive,inactive,62
114,58:02.1,4,inactive,inactive,66
115,08:40.4,1,inactive,inactive,71
116,28:57.9,1,inactive,inactive,70
117,36:40.5,2,active,inactive,63
118,15:00.1,1,inactive,active,71
119,09:43.7,1,inactive,inactive,66
120,26:06.6,4,inactive,active,66
121,22:56.4,2,inactive,inactive,69
122,17:29.3,3,inactive,inactive,69
123,48:30.7,5,active,inactive,70
124,31:19.1,1,inactive,inactive,67
125,56:39.8,4,active,inactive,70
126,34:06.7,2,inactive,inactive,70
127,50:04.1,2,inactive,inactive,63
128,46:34.5,3,inactive,inactive,64
129,28:15.9,2,inactive,inactive,70
130,41:32.1,3,inactive,active,66
131,22:40.2,1,inactive,active,67
132,48:00.5,0,inactive,active,70
133,16:20.7,2,inactive,active,66
134,0:14:45,1,inactive,inactive,64
135,01:34.7,6,inactive,active,70
136,18:52.4,0,inactive,inactive,70
137,0:38:45,0,inactive,inactive,70
138,24:24.4,3,inactive,inactive,68
139,22:51.2,2,inactive,inactive,62
140,59:36.5,1,active,inactive,63
141,49:21.8,2,active,inactive,65
142,04:10.5,2,inactive,inactive,62
143,56:56.9,6,inactive,inactive,63
144,30:28.6,2,inactive,active,68
145,11:52.3,3,inactive,inactive,66
146,22:55.2,1,active,inactive,71
147,43:29.4,1,inactive,inactive,63
148,30:08.2,4,inactive,inactive,66
149,0:12:40,2,inactive,active,64
150,31:07.8,4,inactive,inactive,68
151,36:30.7,1,inactive,inactive,68
152,44:59.8,0,inactive,inactive,71
153,52:15.9,2,inactive,inactive,62
154,48:55.2,2,inactive,inactive,71
155,0:49:10,0,inactive,inactive,62
156,55:14.8,1,inactive,inactive,68
157,06:38.5,0,inactive,inactive,71
158,23:06.5,0,inactive,inactive,69
159,12:43.8,3,inactive,inactive,63
160,13:32.4,1,active,inactive,63
161,39:18.8,4,inactive,inactive,63
162,30:03.5,4,inactive,inactive,67
163,57:19.9,1,inactive,inactive,66
164,40:57.7,2,inactive,inactive,71
165,41:46.1,2,inactive,inactive,64
166,41:35.8,5,inactive,inactive,66
167,0:28:51,0,inactive,inactive,65
168,59:04.9,1,inactive,inactive,65
169,0:23:25,4,active,inactive,66
170,56:27.2,3,inactive,active,65
171,26:56.9,4,inactive,inactive,64
172,30:17.5,1,inactive,inactive,68
173,41:39.7,1,inactive,active,63
174,37:13.6,1,active,inactive,71
175,47:42.6,1,active,active,64
176,00:55.3,6,inactive,active,69
177,44:02.5,0,inactive,inactive,66
178,28:07.9,3,inactive,inactive,65
179,27:03.6,5,inactive,active,68
180,00:27.7,4,inactive,active,62
181,45:54.7,6,active,inactive,64
182,41:24.6,0,inactive,inactive,65
183,52:57.8,0,active,inactive,63
184,15:50.3,4,inactive,inactive,65
185,0:47:04,4,active,inactive,71
186,48:21.4,1,active,inactive,63
187,0:21:04,0,inactive,inactive,63
188,03:39.5,0,active,active,66
189,0:26:25,3,active,inactive,65
190,45:59.7,0,inactive,active,66
191,10:45.6,3,active,inactive,70
192,0:05:12,0,inactive,active,70
193,51:30.9,1,inactive,inactive,66
194,21:25.7,4,active,active,69
195,45:11.8,0,active,active,67
196,14:26.4,3,active,inactive,66
197,58:46.9,1,inactive,inactive,63
198,08:49.1,3,inactive,inactive,65
199,19:46.9,0,inactive,inactive,69
200,22:05.4,0,inactive,active,67
201,07:37.3,1,inactive,inactive,67
202,29:27.1,3,inactive,inactive,63
203,38:51.7,0,inactive,active,69
204,30:56.9,1,inactive,inactive,66
205,07:01.3,2,inactive,inactive,70
206,58:36.3,0,inactive,inactive,62
207,11:21.9,1,inactive,inactive,68
208,37:40.8,2,inactive,inactive,65
209,58:15.8,1,inactive,inactive,67
210,46:33.7,3,inactive,inactive,64
211,29:40.2,2,inactive,inactive,62
212,25:11.1,3,inactive,inactive,62
213,49:26.8,2,inactive,inactive,68
214,16:53.4,2,active,inactive,67
215,04:21.2,4,inactive,inactive,62
216,0:20:39,0,inactive,inactive,68
217,51:37.2,3,inactive,inactive,71
218,0:01:47,2,inactive,inactive,71
219,57:19.9,2,inactive,inactive,70
220,16:03.6,0,active,inactive,63
221,28:06.1,2,inactive,inactive,68
222,15:23.9,0,active,inactive,67
223,09:07.9,1,active,inactive,65
224,36:16.2,3,inactive,inactive,68
225,24:19.9,4,inactive,inactive,64
226,02:48.9,2,inactive,inactive,69
227,26:45.8,4,inactive,inactive,67
228,26:23.4,0,inactive,active,65
229,38:44.2,1,active,inactive,69
230,55:16.1,3,active,active,64
231,31:09.1,3,active,inactive,70
232,03:56.5,3,inactive,inactive,62
233,0:29:11,0,inactive,inactive,63
234,34:27.7,2,inactive,inactive,62
235,01:50.8,3,inactive,inactive,67
236,39:52.7,4,inactive,inactive,68
237,31:47.8,0,active,inactive,67
238,26:32.7,0,inactive,active,62
239,32:31.1,3,active,inactive,66
240,07:13.3,2,inactive,inactive,69
241,39:12.8,1,inactive,inactive,69
242,34:43.9,1,inactive,inactive,63
243,40:40.5,1,active,inactive,67
244,29:41.6,2,inactive,inactive,67
245,53:37.9,3,active,inactive,65
246,42:29.5,2,inactive,inactive,67
247,0:59:22,1,inactive,inactive,71
248,48:43.3,1,inactive,inactive,62
249,08:02.3,0,inactive,inactive,64
250,26:47.1,6,inactive,inactive,67
251,04:26.6,1,inactive,inactive,68
252,41:49.8,3,inactive,inactive,67
253,27:43.8,3,inactive,inactive,70
254,35:57.5,2,active,inactive,71
255,03:35.5,6,inactive,inactive,62
256,45:36.7,1,inactive,inactive,68
257,28:36.7,3,inactive,inactive,67
258,46:05.6,0,inactive,inactive,62
259,52:03.6,3,active,active,71
260,0:10:05,3,inactive,inactive,67
261,0:27:15,0,inactive,inactive,62
262,49:36.4,2,inactive,inactive,70
263,37:54.4,2,inactive,inactive,67
264,39:15.3,2,inactive,inactive,69
265,04:30.3,3,active,inactive,63
266,14:03.5,1,inactive,inactive,63
267,26:30.1,0,inactive,inactive,64
268,58:32.1,4,inactive,inactive,62
269,38:46.6,3,inactive,active,71
270,0:31:56,6,inactive,inactive,66
271,23:58.1,4,active,inactive,66
272,0:17:16,4,inactive,inactive,63
273,15:38.2,6,inactive,inactive,63
274,48:14.1,2,active,inactive,71
275,02:14.2,0,inactive,inactive,63
276,01:53.7,2,active,inactive,62
277,23:11.6,1,inactive,inactive,65
278,25:09.6,2,active,active,71
279,43:57.2,1,inactive,inactive,64
280,48:41.1,3,inactive,inactive,65
281,43:32.7,2,active,active,67
282,53:17.2,2,inactive,inactive,62
283,05:37.1,0,inactive,inactive,69
284,28:07.9,1,inactive,inactive,65
285,46:46.8,2,inactive,active,69
286,47:05.4,1,inactive,active,71
287,23:28.5,0,inactive,active,70
288,22:23.6,0,inactive,inactive,67
289,19:50.9,4,inactive,inactive,67
290,0:37:34,2,active,inactive,62
291,30:57.8,3,inactive,inactive,67
292,0:59:06,0,inactive,inactive,67
293,51:02.5,5,inactive,active,65
294,41:03.5,5,inactive,inactive,66
295,25:21.5,1,inactive,inactive,66
296,44:51.4,0,inactive,inactive,69
297,28:04.6,2,inactive,inactive,64
298,47:14.6,1,inactive,inactive,65
299,57:45.3,4,inactive,inactive,70
300,11:04.9,5,inactive,inactive,67
301,32:50.2,0,inactive,inactive,63
302,0:07:30,4,inactive,inactive,65
303,46:02.8,6,inactive,inactive,65
304,37:39.8,1,inactive,inactive,64
305,01:51.2,2,inactive,inactive,65
306,40:16.5,2,inactive,inactive,70
307,0:11:16,2,active,inactive,67
308,25:04.5,1,inactive,inactive,70
309,13:45.1,4,inactive,inactive,67
310,03:03.2,3,inactive,inactive,69
311,15:09.8,4,active,inactive,62
312,44:31.3,4,inactive,inactive,71
313,0:27:17,2,inactive,active,68
314,22:03.7,2,inactive,inactive,66
315,46:31.7,3,inactive,inactive,64
316,33:12.5,3,inactive,inactive,62
317,13:16.1,4,inactive,active,64
318,22:43.7,2,inactive,inactive,69
319,01:05.6,1,inactive,active,69
320,15:19.3,0,inactive,inactive,66
321,31:34.1,1,inactive,active,62
322,59:05.7,0,inactive,inactive,63
323,04:01.9,2,inactive,active,65
324,0:30:22,3,active,inactive,65
325,17:53.4,4,inactive,inactive,62
326,20:14.9,0,inactive,inactive,69
327,48:32.2,5,inactive,inactive,62
328,0:17:19,3,inactive,inactive,68
329,0:41:56,2,inactive,active,67
330,42:09.2,2,inactive,inactive,68
331,25:45.6,3,inactive,inactive,69
332,35:04.6,5,inactive,inactive,64
333,40:09.1,6,inactive,inactive,66
334,53:13.3,3,inactive,inactive,62
335,0:10:54,2,inactive,inactive,65
336,57:15.6,6,inactive,inactive,71
337,48:20.1,4,inactive,inactive,64
338,45:34.4,6,inactive,inactive,66
339,58:06.3,4,inactive,inactive,69
340,42:17.8,4,inactive,inactive,68
341,41:22.5,4,inactive,inactive,63
342,56:00.7,3,inactive,inactive,69
343,54:38.9,2,inactive,inactive,64
344,0:19:04,4,inactive,inactive,70
345,01:37.9,3,inactive,inactive,70
346,25:23.4,4,inactive,inactive,66
347,45:09.9,3,inactive,inactive,62
348,44:34.7,1,inactive,active,63
349,08:01.2,5,inactive,inactive,66
350,14:01.2,1,inactive,active,64
351,07:20.7,1,inactive,inactive,69
352,13:28.1,1,inactive,inactive,66
353,48:08.1,1,inactive,inactive,67
354,54:03.8,3,active,active,71
355,34:44.4,1,inactive,inactive,63
356,56:02.9,3,active,inactive,67
357,06:17.2,4,active,active,71
358,20:05.5,3,inactive,inactive,65
359,48:51.3,2,inactive,inactive,65
360,19:19.9,1,inactive,active,65
361,16:51.8,0,inactive,inactive,71
362,0:53:30,1,inactive,inactive,64
363,10:16.5,2,inactive,inactive,68
364,49:07.1,0,inactive,inactive,62
365,54:41.1,6,inactive,inactive,63
366,30:17.4,3,inactive,inactive,62
367,54:15.8,2,inactive,inactive,71
368,20:09.4,1,active,inactive,70
369,21:26.5,4,inactive,inactive,70
370,55:33.4,3,inactive,active,66
371,10:01.5,0,active,inactive,68
372,32:06.3,5,inactive,inactive,62
373,45:42.6,2,inactive,inactive,62
374,46:57.6,4,inactive,inactive,66
375,52:39.1,1,inactive,active,71
376,37:04.6,4,inactive,inactive,71
377,31:40.1,0,inactive,inactive,68
378,44:38.6,1,inactive,inactive,68
379,0:09:41,0,inactive,inactive,69
380,21:39.4,3,inactive,inactive,65
381,29:52.8,1,inactive,active,67
382,0:19:49,0,active,inactive,69
383,0:29:43,6,inactive,inactive,71
384,04:46.7,1,inactive,inactive,67
385,30:13.1,3,inactive,inactive,71
386,0:11:04,0,inactive,inactive,65
387,0:56:09,4,inactive,inactive,62
388,10:56.3,5,inactive,inactive,70
389,13:03.1,3,inactive,inactive,66
390,48:08.7,4,inactive,inactive,63
391,48:23.8,3,inactive,inactive,67
392,0:30:14,1,active,active,62
393,08:17.6,3,inactive,inactive,64
394,0:31:42,0,inactive,inactive,70
395,41:53.5,1,inactive,inactive,65
396,17:31.9,3,inactive,inactive,63
397,57:09.5,5,active,inactive,68
398,02:49.3,4,inactive,inactive,64
399,33:21.7,0,inactive,inactive,67
400,04:27.1,2,inactive,active,69
401,17:20.7,2,inactive,inactive,62
402,14:20.7,6,active,inactive,66
403,19:34.1,1,inactive,inactive,66
404,58:49.2,5,inactive,inactive,69
405,34:31.3,3,inactive,inactive,65
406,48:33.3,0,inactive,inactive,69
407,41:28.6,1,inactive,inactive,65
408,07:15.8,3,inactive,inactive,71
409,21:26.6,3,inactive,inactive,69
410,32:45.6,0,inactive,inactive,63
411,22:46.4,4,inactive,inactive,65
412,27:39.4,4,inactive,inactive,68
413,14:25.9,4,inactive,inactive,64
414,29:32.9,5,inactive,inactive,70
415,21:49.8,0,inactive,inactive,69
416,44:06.4,0,inactive,active,62
417,38:42.6,1,inactive,inactive,68
418,34:34.3,5,inactive,inactive,62
419,10:01.3,4,inactive,inactive,65
420,38:11.9,1,inactive,inactive,69
421,25:54.9,0,inactive,inactive,70
422,18:51.7,4,active,inactive,66
423,40:00.4,1,inactive,active,68
424,13:49.7,2,active,inactive,64
425,42:28.8,2,inactive,active,68
426,0:55:32,3,inactive,inactive,69
427,19:21.4,1,active,inactive,71
428,04:47.4,1,inactive,inactive,66
429,0:33:30,0,active,inactive,62
430,0:15:33,2,inactive,active,63
431,0:53:57,0,inactive,inactive,67
432,16:48.3,1,active,active,65
433,35:34.9,4,inactive,inactive,70
434,07:13.6,4,inactive,active,71
435,0:55:18,2,inactive,inactive,63
436,49:06.5,5,active,inactive,67
437,32:10.8,4,inactive,inactive,67
438,56:20.8,1,inactive,active,66
439,44:19.7,4,inactive,inactive,67
440,21:24.2,4,active,inactive,68
441,0:38:28,1,inactive,inactive,70
442,38:38.5,1,inactive,inactive,63
443,20:04.8,3,inactive,inactive,70
444,58:25.8,4,inactive,active,65
445,27:52.9,0,inactive,inactive,62
446,45:08.3,4,inactive,active,66
447,12:42.4,1,inactive,inactive,64
448,19:51.7,2,active,inactive,62
449,41:47.7,0,inactive,inactive,62
450,35:35.1,2,active,inactive,71
451,48:55.6,4,inactive,inactive,62
452,0:22:29,1,inactive,inactive,70
453,55:25.9,4,inactive,inactive,69
454,58:46.6,4,inactive,inactive,70
455,05:34.4,0,inactive,active,71
456,08:15.6,4,inactive,active,64
457,30:14.5,2,inactive,inactive,63
458,13:38.6,2,inactive,inactive,62
459,42:15.9,0,active,inactive,67
460,19:36.7,0,inactive,active,64
461,37:45.1,1,inactive,inactive,65
462,27:12.6,2,inactive,active,64
463,35:08.3,3,inactive,inactive,62
464,02:29.7,4,active,inactive,68
465,55:21.9,3,inactive,inactive,66
466,34:39.7,1,inactive,active,70
467,36:27.9,3,inactive,inactive,67
468,0:52:15,5,inactive,inactive,66
469,16:37.4,3,active,inactive,68
470,42:34.6,1,inactive,inactive,67
471,30:17.4,1,active,inactive,67
472,25:45.5,0,inactive,active,62
473,32:04.4,3,inactive,inactive,66
474,0:57:33,6,inactive,inactive,66
475,03:08.7,2,active,inactive,63
476,42:43.3,1,inactive,inactive,66
477,02:28.7,3,active,inactive,66
478,06:42.6,6,inactive,inactive,68
479,59:07.7,4,active,inactive,62
480,41:51.6,1,inactive,inactive,70
481,13:35.3,4,inactive,inactive,65
482,51:34.4,2,inactive,inactive,67
483,52:59.5,3,inactive,inactive,64
484,0:47:30,1,inactive,inactive,65
485,03:45.5,1,inactive,inactive,62
486,29:16.9,2,inactive,inactive,63
487,19:12.3,1,active,inactive,66
488,38:48.8,1,inactive,inactive,66
489,15:33.6,3,inactive,inactive,70
490,52:28.2,1,inactive,active,63
491,20:50.9,3,inactive,inactive,69
492,09:20.3,4,active,inactive,69
493,18:16.4,2,inactive,inactive,64
494,46:11.5,3,inactive,active,66
495,41:01.1,3,inactive,inactive,67
496,50:01.4,1,inactive,inactive,64
497,26:19.7,2,inactive,inactive,62
498,39:57.8,2,inactive,inactive,65
499,31:16.4,1,inactive,inactive,71
500,10:02.1,1,inactive,inactive,71
501,20:53.6,1,inactive,inactive,64
502,32:23.2,2,inactive,inactive,66
503,0:20:08,3,inactive,inactive,70
504,55:27.6,3,inactive,inactive,69
505,32:10.7,0,active,inactive,70
506,58:32.8,4,inactive,active,70
507,13:26.5,4,active,inactive,69
508,37:08.1,4,inactive,inactive,71
509,44:59.4,2,inactive,inactive,68
510,57:43.7,0,active,active,68
511,41:10.1,0,inactive,inactive,62
512,28:31.8,3,inactive,active,65
513,23:27.1,0,inactive,inactive,69
514,49:00.6,5,inactive,inactive,70
515,45:19.8,2,inactive,active,62
516,50:57.6,4,inactive,inactive,62
517,54:31.5,3,active,inactive,62
518,38:27.7,2,inactive,inactive,71
519,05:30.6,2,inactive,inactive,64
520,26:49.1,5,inactive,inactive,65
521,05:49.8,5,inactive,active,69
522,32:55.6,0,inactive,inactive,67
523,04:23.7,1,active,inactive,62
524,56:50.7,1,active,inactive,63
525,17:04.9,2,active,inactive,63
526,31:41.8,1,active,inactive,63
527,05:34.8,4,active,inactive,64
528,23:09.5,1,inactive,inactive,62
529,12:31.2,0,active,inactive,63
530,10:48.4,0,inactive,inactive,65
531,56:59.7,6,inactive,active,63
532,25:15.3,0,inactive,inactive,64
533,54:38.9,4,active,inactive,66
534,21:29.4,4,active,active,63
535,45:08.3,1,inactive,inactive,62
536,23:57.4,4,inactive,inactive,67
537,41:58.6,1,inactive,active,69
538,06:33.2,6,inactive,inactive,68
539,08:43.4,0,inactive,active,62
540,0:18:39,3,active,inactive,69
541,0:24:58,0,inactive,inactive,63
542,33:38.6,5,inactive,inactive,67
543,22:38.1,4,active,inactive,62
544,19:15.6,2,active,active,68
545,46:26.2,4,inactive,inactive,63
546,44:00.1,4,active,active,68
547,40:48.3,4,active,inactive,64
548,41:29.4,3,inactive,inactive,71
549,43:38.9,1,inactive,inactive,62
550,33:12.8,4,inactive,inactive,69
551,27:46.6,4,active,inactive,64
552,35:54.1,3,inactive,inactive,70
553,01:29.4,0,inactive,inactive,68
554,02:26.3,6,inactive,inactive,64
555,32:39.1,2,inactive,inactive,70
556,55:17.6,3,inactive,active,66
557,07:05.9,1,inactive,active,65
558,17:22.1,1,inactive,active,63
559,18:02.2,2,inactive,inactive,69
560,07:13.6,5,inactive,inactive,69
561,11:22.3,3,inactive,inactive,66
562,39:11.5,2,active,inactive,64
563,0:44:31,5,inactive,active,70
564,01:29.4,3,inactive,active,68
565,24:38.8,4,inactive,inactive,66
566,41:36.6,3,inactive,inactive,68
567,59:44.6,4,inactive,inactive,64
568,57:05.5,1,active,active,63
569,14:13.6,6,inactive,inactive,68
570,14:42.6,5,inactive,inactive,63
571,05:18.7,1,inactive,inactive,71
572,21:05.4,5,inactive,inactive,68
573,02:24.8,2,active,inactive,71
574,42:14.9,4,inactive,active,65
575,00:09.7,1,inactive,inactive,62
576,36:47.7,4,inactive,inactive,65
577,09:22.5,2,inactive,inactive,63
578,50:17.7,3,inactive,inactive,64
579,28:22.6,2,inactive,inactive,62
580,18:21.4,4,inactive,inactive,62
581,34:21.3,3,active,inactive,63
582,0:22:57,3,active,inactive,67
583,28:25.6,1,inactive,inactive,62
584,54:10.7,2,active,inactive,71
585,00:04.2,3,inactive,inactive,62
586,09:52.5,1,inactive,active,64
587,23:49.1,3,inactive,inactive,71
588,0:18:06,6,active,active,63
589,0:43:39,0,inactive,inactive,65
590,17:11.6,1,inactive,inactive,65
591,38:09.2,0,inactive,inactive,66
592,29:59.3,3,active,inactive,63
593,56:23.4,2,inactive,inactive,63
594,25:46.6,0,active,inactive,67
595,16:14.1,3,inactive,inactive,67
596,31:19.3,3,inactive,inactive,63
597,13:24.1,3,inactive,active,62
598,15:30.1,3,inactive,inactive,68
599,09:32.4,4,inactive,inactive,67
600,0:43:48,0,inactive,inactive,69
601,54:43.9,2,inactive,active,64
602,44:45.1,3,inactive,inactive,67
603,09:06.2,0,active,inactive,64
604,51:30.4,0,inactive,inactive,65
605,0:30:39,0,inactive,active,64
606,20:47.5,1,inactive,inactive,63
607,50:19.1,4,inactive,active,69
608,52:24.2,0,inactive,inactive,65
609,46:55.8,3,active,active,64
610,39:22.7,4,inactive,active,64
611,0:55:48,3,inactive,inactive,66
612,04:06.1,4,inactive,active,68
613,56:30.8,2,inactive,inactive,68
614,15:07.5,4,inactive,inactive,66
615,38:41.9,2,inactive,inactive,67
616,39:59.7,3,inactive,inactive,63
617,27:06.1,3,inactive,inactive,68
618,13:36.8,1,active,inactive,65
619,00:02.5,6,inactive,inactive,65
620,49:59.7,0,inactive,inactive,71
621,0:46:08,3,inactive,inactive,68
622,06:41.8,0,inactive,inactive,66
623,11:58.3,2,inactive,active,69
624,23:10.7,6,inactive,inactive,62
625,27:26.4,2,active,inactive,70
626,42:12.8,1,inactive,inactive,65
627,06:27.3,1,inactive,inactive,64
628,22:18.1,2,inactive,inactive,70
629,0:33:18,0,inactive,active,62
630,20:54.7,5,inactive,inactive,69
631,53:39.8,2,inactive,inactive,64
632,11:10.5,6,inactive,inactive,64
633,07:41.3,3,active,inactive,69
634,34:50.9,4,inactive,inactive,62
635,39:47.6,5,inactive,inactive,69
636,36:25.4,2,active,inactive,64
637,36:21.5,1,inactive,inactive,63
638,20:05.5,0,inactive,inactive,62
639,35:27.6,1,inactive,inactive,62
640,43:50.9,0,inactive,inactive,64
641,0:03:06,2,inactive,inactive,66
642,52:24.4,1,inactive,inactive,71
643,38:07.2,4,inactive,inactive,62
644,15:23.5,3,active,inactive,66
645,54:46.9,3,inactive,inactive,62
646,44:20.4,0,inactive,inactive,69
647,0:18:33,4,inactive,inactive,67
648,44:59.7,0,inactive,inactive,67
649,19:34.5,3,inactive,active,65
650,02:27.3,3,active,inactive,65
651,04:51.6,1,inactive,active,63
652,46:35.6,5,inactive,inactive,68
653,10:09.8,3,inactive,inactive,68
654,44:16.3,1,inactive,inactive,69
655,04:06.3,1,inactive,active,68
656,07:24.4,3,inactive,inactive,68
657,32:52.1,0,active,inactive,64
658,45:10.4,5,inactive,inactive,68
659,0:27:09,0,inactive,inactive,64
660,05:48.3,4,active,inactive,71
661,07:09.6,5,active,inactive,68
662,22:08.6,1,inactive,inactive,71
663,57:36.7,3,active,active,63
664,27:24.5,1,inactive,inactive,70
665,41:59.2,0,active,inactive,65
666,40:13.6,0,active,inactive,67
667,03:35.2,0,active,inactive,68
668,23:50.5,3,inactive,inactive,64
669,18:25.6,2,active,active,65
670,21:28.4,3,inactive,inactive,63
671,39:08.3,6,inactive,inactive,68
672,24:17.1,4,inactive,inactive,67
673,26:00.2,6,inactive,inactive,71
674,0:29:21,2,inactive,inactive,69
675,53:31.2,0,active,inactive,64
676,0:30:54,1,inactive,inactive,71
677,31:16.1,3,active,inactive,67
678,0:52:25,1,active,active,64
679,56:15.9,2,inactive,inactive,64
680,27:17.2,0,inactive,active,67
681,46:47.9,2,inactive,inactive,67
682,32:45.7,1,inactive,inactive,71
683,13:11.7,2,inactive,inactive,62
684,0:21:35,6,inactive,inactive,68
685,03:18.4,5,inactive,inactive,67
686,05:54.1,3,inactive,inactive,66
687,0:20:14,4,active,inactive,65
