Time,DayOfWeek,Motion,Acceleration,Temperature
12:25:34.929,1,inactive,inactive,77
03:55:1.183,1,active,active,73
10:40:38.475,3,inactive,inactive,73
09:02:12.488,6,inactive,inactive,72
23:14:39.411,6,inactive,inactive,72
12:27:28.658,0,inactive,inactive,70
19:20:48.457,6,inactive,active,73
21:00:43.708,6,inactive,active,70
06:12:3.146,0,inactive,inactive,69
08:09:4.65,4,inactive,inactive,72
13:17:17.342,5,inactive,inactive,70
03:17:12.529,4,active,active,75
08:34:35.53,3,inactive,inactive,75
23:08:9.678,6,active,active,70
09:03:39.641,2,inactive,inactive,70
03:12:25.078,1,inactive,inactive,70
06:01:33.152,5,inactive,inactive,71
06:25:10.409,4,inactive,inactive,73
21:35:56.461,4,inactive,inactive,75
22:28:25.896,5,inactive,inactive,76
14:21:23.23,6,inactive,inactive,72
03:19:34.747,5,inactive,inactive,72
19:05:9.214,4,inactive,inactive,73
08:18:39.515,2,inactive,inactive,70
02:27:33.941,1,inactive,inactive,70
18:21:33.366,5,inactive,inactive,76
22:11:57.387,5,inactive,inactive,68
04:25:58.975,2,inactive,inactive,72
19:31:25.747,5,inactive,inactive,70
21:10:42.379,3,inactive,inactive,73
00:27:3.231,2,active,active,70
12:50:18.04,5,inactive,inactive,76
10:22:6.993,0,inactive,inactive,72
08:40:26.534,5,inactive,inactive,71
10:12:32.026,4,inactive,inactive,71
21:13:37.259,0,inactive,inactive,73
02:09:13.714,4,inactive,inactive,72
20:13:33.708,1,inactive,inactive,70
09:31:11.095,0,inactive,inactive,71
15:22:28.63,0,inactive,inactive,69
06:35:24.156,3,inactive,inactive,75
05:02:1.332,3,inactive,inactive,71
16:03:29.824,4,inactive,inactive,73
07:06:53.787,3,inactive,inactive,71
20:13:48.707,0,inactive,inactive,70
06:40:5.555,1,inactive,inactive,73
23:20:46.723,5,inactive,inactive,66
09:55:1.826,0,inactive,inactive,70
21:23:48.998,5,inactive,inactive,70
15:52:40.785,5,inactive,inactive,75
11:45:56.206,6,inactive,inactive,73
18:03:30.277,6,inactive,inactive,72
19:51:5.623,3,inactive,inactive,74
16:21:49.688,0,inactive,inactive,69
20:50:46.915,6,active,active,78
01:35:30.568,1,inactive,inactive,71
07:03:2.77,2,inactive,inactive,73
01:40:24.596,4,inactive,inactive,75
05:31:41.362,1,active,active,69
01:55:20.437,5,active,active,77
01:54:24.708,1,inactive,active,75
10:41:22.698,0,inactive,inactive,78
02:26:27.013,2,inactive,active,76
15:20:7.092,3,inactive,inactive,73
12:30:48.312,0,inactive,inactive,74
08:28:10.337,5,inactive,inactive,74
05:50:58.084,1,inactive,inactive,68
13:13:1.996,4,inactive,inactive,71
10:49:22.845,2,inactive,inactive,76
08:20:34.308,6,inactive,inactive,71
20:32:10.196,0,active,active,74
15:32:45.908,6,inactive,inactive,70
03:46:22.219,5,inactive,inactive,75
03:03:0.846,0,active,active,69
10:30:22.491,5,inactive,inactive,72
17:43:42.744,0,inactive,inactive,75
09:04:23.537,4,inactive,inactive,75
23:57:56.073,1,inactive,active,73
00:16:10.572,1,inactive,inactive,74
02:54:45.65,2,inactive,inactive,76
03:27:21.165,2,inactive,inactive,70
17:02:11.738,2,inactive,inactive,72
00:22:12.389,1,inactive,inactive,80
19:10:5.941,1,inactive,inactive,71
02:33:45.235,0,active,active,68
22:00:28.614,3,inactive,inactive,72
12:39:28.515,3,inactive,inactive,73
10:57:54.274,3,inactive,inactive,71
07:55:36.215,3,inactive,inactive,69
19:34:8.336,4,inactive,inactive,71
10:32:32.089,6,inactive,inactive,73
09:35:5.851,0,inactive,inactive,78
06:05:22.421,2,inactive,inactive,74
18:57:37.94,1,inactive,inactive,77
06:25:12.342,5,inactive,inactive,73
19:51:56.253,0,inactive,inactive,70
18:56:2.683,2,inactive,inactive,72
21:11:43.798,3,inactive,inactive,73
02:46:14.724,4,inactive,inactive,71
10:36:42.351,4,inactive,inactive,71
18:26:26.118,0,active,active,67
13:14:3.854,6,inactive,active,74
21:13:14.041,2,inactive,inactive,74
11:45:38.086,2,inactive,inactive,76
08:06:3.771,0,inactive,inactive,71
08:19:6.213,6,inactive,inactive,70
17:31:39.744,5,inactive,inactive,77
15:10:10.378,1,inactive,inactive,70
00:04:33.19,5,inactive,inactive,70
00:28:32.426,6,active,active,73
04:57:15.135,4,inactive,inactive,76
14:52:53.647,4,inactive,inactive,69
13:12:51.818,1,inactive,inactive,76
22:51:15.616,1,inactive,inactive,80
01:08:14.398,6,inactive,inactive,71
21:30:56.208,5,inactive,inactive,78
15:29:27.707,6,inactive,inactive,71
22:25:57.125,4,active,active,73
15:20:52.882,1,inactive,inactive,71
05:56:45.877,5,inactive,inactive,76
07:55:45.549,1,inactive,inactive,66
06:42:48.942,6,inactive,inactive,75
18:55:41.243,0,inactive,inactive,73
07:00:8.699,5,inactive,inactive,71
20:05:42.338,1,inactive,inactive,73
12:21:6.992,4,inactive,active,70
09:29:14.586,0,inactive,active,76
14:23:10.55,1,inactive,inactive,75
04:13:45.894,2,inactive,inactive,71
03:25:1.809,5,inactive,inactive,70
02:51:14.944,2,inactive,inactive,77
22:52:39.066,4,inactive,inactive,75
18:47:33.679,1,inactive,inactive,73
01:18:5.137,4,inactive,inactive,72
11:55:8.209,0,inactive,inactive,77
15:21:3.784,0,inactive,inactive,75
13:22:35.289,0,inactive,active,74
09:03:48.575,3,inactive,inactive,73
06:22:53.893,6,inactive,inactive,80
22:45:25.56,1,inactive,inactive,73
22:52:5.437,1,inactive,inactive,75
10:31:22.275,0,inactive,inactive,74
22:42:44.873,0,inactive,inactive,72
02:43:19.439,2,inactive,inactive,75
03:09:2.575,5,active,active,70
20:43:43.63,0,inactive,inactive,76
03:38:5.058,3,inactive,inactive,76
17:08:32.781,2,inactive,active,73
17:15:3.99,4,inactive,inactive,73
02:52:44.088,3,inactive,inactive,70
23:27:42.705,0,inactive,inactive,74
12:33:58.389,4,inactive,inactive,76
22:33:41.577,0,inactive,inactive,66
11:46:37.382,3,inactive,inactive,67
