name,time,value
acceleration,2019-10-20 3:14:48.384 PM,inactive
acceleration,2019-10-20 3:14:38.361 PM,active
status,2019-10-20 3:14:35.468 PM,closed
acceleration,2019-10-20 3:14:15.055 PM,inactive
acceleration,2019-10-20 3:13:54.990 PM,active
status,2019-10-20 3:13:26.800 PM,open
acceleration,2019-10-20 3:13:24.898 PM,inactive
acceleration,2019-10-20 3:13:14.869 PM,active
temperature,2019-10-20 2:54:17.980 PM,67
status,2019-10-20 2:51:26.471 PM,closed
acceleration,2019-10-20 2:51:11.895 PM,inactive
status,2019-10-20 2:51:02.715 PM,open
acceleration,2019-10-20 2:51:01.870 PM,active
acceleration,2019-10-20 2:49:18.887 PM,inactive
status,2019-10-20 2:49:10.116 PM,closed
status,2019-10-20 2:49:05.811 PM,open
status,2019-10-20 2:48:59.231 PM,closed
acceleration,2019-10-20 2:48:58.834 PM,active
status,2019-10-20 2:48:54.981 PM,open
acceleration,2019-10-20 2:42:49.735 PM,inactive
status,2019-10-20 2:42:46.242 PM,closed
status,2019-10-20 2:42:42.185 PM,open
status,2019-10-20 2:42:39.760 PM,closed
acceleration,2019-10-20 2:42:39.725 PM,active
status,2019-10-20 2:42:28.376 PM,open
acceleration,2019-10-20 2:39:21.620 PM,inactive
status,2019-10-20 2:39:15.507 PM,closed
acceleration,2019-10-20 2:39:11.605 PM,active
status,2019-10-20 2:39:11.441 PM,open
acceleration,2019-10-20 2:38:43.430 PM,inactive
status,2019-10-20 2:38:30.711 PM,closed
status,2019-10-20 2:38:25.511 PM,open
acceleration,2019-10-20 2:38:23.373 PM,active
acceleration,2019-10-20 2:08:31.235 PM,inactive
status,2019-10-20 2:08:24.950 PM,closed
acceleration,2019-10-20 2:08:21.200 PM,active
status,2019-10-20 2:08:21.131 PM,open
acceleration,2019-10-20 1:55:39.710 PM,inactive
status,2019-10-20 1:55:32.981 PM,closed
acceleration,2019-10-20 1:55:29.687 PM,active
status,2019-10-20 1:55:29.532 PM,open
acceleration,2019-10-20 1:54:19.270 PM,inactive
status,2019-10-20 1:54:09.570 PM,closed
acceleration,2019-10-20 1:54:09.253 PM,active
status,2019-10-20 1:54:04.471 PM,open
acceleration,2019-10-20 1:04:17.228 PM,inactive
status,2019-10-20 1:04:09.105 PM,closed
acceleration,2019-10-20 1:04:07.173 PM,active
acceleration,2019-10-20 1:03:48.209 PM,inactive
acceleration,2019-10-20 1:03:38.193 PM,active
status,2019-10-20 1:03:38.000 PM,open
acceleration,2019-10-20 1:03:01.760 PM,inactive
status,2019-10-20 1:02:56.990 PM,closed
acceleration,2019-10-20 1:02:51.723 PM,active
status,2019-10-20 1:02:51.691 PM,open
acceleration,2019-10-20 1:01:53.320 PM,inactive
status,2019-10-20 1:01:44.818 PM,closed
acceleration,2019-10-20 1:01:43.332 PM,active
status,2019-10-20 1:01:40.966 PM,open
acceleration,2019-10-20 1:00:01.951 PM,inactive
status,2019-10-20 12:59:55.836 PM,closed
acceleration,2019-10-20 12:59:51.940 PM,active
status,2019-10-20 12:59:49.140 PM,open
acceleration,2019-10-20 12:59:41.930 PM,inactive
status,2019-10-20 12:59:35.538 PM,closed
acceleration,2019-10-20 12:59:31.859 PM,active
status,2019-10-20 12:59:25.639 PM,open
acceleration,2019-10-20 12:58:48.510 PM,inactive
status,2019-10-20 12:58:44.661 PM,closed
acceleration,2019-10-20 12:58:20.967 PM,active
status,2019-10-20 12:58:18.977 PM,open
temperature,2019-10-20 10:35:06.120 AM,66
battery,2019-10-20 6:15:10.927 AM,67
acceleration,2019-10-20 1:42:02.360 AM,inactive
status,2019-10-20 1:41:56.330 AM,closed
acceleration,2019-10-20 1:41:52.365 AM,active
status,2019-10-20 1:41:52.161 AM,open
acceleration,2019-10-20 1:41:13.394 AM,inactive
status,2019-10-20 1:41:05.315 AM,closed
acceleration,2019-10-20 1:41:03.415 AM,active
status,2019-10-20 1:41:01.901 AM,open
acceleration,2019-10-20 1:38:44.800 AM,inactive
status,2019-10-20 1:38:26.169 AM,closed
acceleration,2019-10-20 1:38:24.822 AM,active
status,2019-10-20 1:38:23.192 AM,open
temperature,2019-10-20 12:05:11.065 AM,65
temperature,2019-10-19 11:50:11.397 PM,66
temperature,2019-10-19 11:40:11.573 PM,67
temperature,2019-10-19 11:35:11.628 PM,69
temperature,2019-10-19 11:32:11.660 PM,71
temperature,2019-10-19 11:29:11.619 PM,73
temperature,2019-10-19 11:27:14.517 PM,75
temperature,2019-10-19 11:25:11.520 PM,78
temperature,2019-10-19 11:23:11.511 PM,80
acceleration,2019-10-19 11:21:56.260 PM,inactive
acceleration,2019-10-19 11:21:46.367 PM,active
status,2019-10-19 11:21:46.106 PM,closed
status,2019-10-19 11:21:42.031 PM,open
temperature,2019-10-19 11:21:11.310 PM,82
temperature,2019-10-19 11:18:11.035 PM,84
acceleration,2019-10-19 11:17:53.400 PM,inactive
status,2019-10-19 11:17:52.643 PM,closed
status,2019-10-19 11:17:50.283 PM,open
acceleration,2019-10-19 11:17:43.378 PM,active
status,2019-10-19 11:17:34.770 PM,closed
status,2019-10-19 11:17:30.856 PM,open
status,2019-10-19 11:17:10.958 PM,closed
temperature,2019-10-19 11:15:40.545 PM,87
acceleration,2019-10-19 11:14:28.496 PM,inactive
status,2019-10-19 11:14:15.854 PM,open
acceleration,2019-10-19 11:13:52.857 PM,active
status,2019-10-19 11:13:37.978 PM,closed
battery,2019-10-19 11:13:30.924 PM,56
status,2019-10-19 11:13:29.860 PM,open
status,2019-10-19 11:13:20.021 PM,closed
status,2019-10-19 11:13:15.740 PM,closed
status,2019-10-19 11:13:14.761 PM,open
status,2019-10-19 11:13:14.630 PM,closed
status,2019-10-19 11:13:08.577 PM,open
status,2019-10-19 11:13:04.500 PM,closed
status,2019-10-19 11:12:59.936 PM,open
status,2019-10-19 11:12:59.010 PM,closed
battery,2019-10-19 11:12:54.887 PM,44
acceleration,2019-10-19 11:12:52.855 PM,inactive
temperature,2019-10-19 11:12:50.860 PM,88
temperature,2019-10-25 9:01:30.280 AM,62
temperature,2019-10-25 8:31:25.669 AM,61
temperature,2019-10-25 5:46:02.057 AM,60
temperature,2019-10-25 3:15:39.348 AM,61
temperature,2019-10-25 1:10:19.295 AM,62
threeAxis,2019-10-25 12:09:29.260 AM,"1,-1,-1036"
temperature,2019-10-24 11:25:01.450 PM,63
contact,2019-10-24 11:10:45.501 PM,closed
status,2019-10-24 11:10:45.499 PM,closed
contact,2019-10-24 11:10:43.686 PM,open
status,2019-10-24 11:10:43.684 PM,open
acceleration,2019-10-24 11:09:26.687 PM,inactive
threeAxis,2019-10-24 11:09:19.130 PM,"120,-48,-1029"
threeAxis,2019-10-24 11:09:18.030 PM,"-182,-18,-1041"
contact,2019-10-24 11:09:07.567 PM,closed
status,2019-10-24 11:09:07.565 PM,closed
threeAxis,2019-10-24 11:09:04.584 PM,"69,-15,-1031"
threeAxis,2019-10-24 11:09:04.553 PM,"93,7,-1029"
acceleration,2019-10-24 11:08:46.543 PM,active
threeAxis,2019-10-24 11:08:46.541 PM,"-116,2,-1031"
threeAxis,2019-10-24 11:08:45.245 PM,"69,-15,-1031"
contact,2019-10-24 11:08:27.058 PM,open
status,2019-10-24 11:08:27.056 PM,open
contact,2019-10-24 11:08:16.348 PM,closed
status,2019-10-24 11:08:16.346 PM,closed
contact,2019-10-24 11:08:15.033 PM,open
status,2019-10-24 11:08:15.031 PM,open
acceleration,2019-10-24 11:08:11.900 PM,inactive
threeAxis,2019-10-24 11:08:09.179 PM,"48,0,-1033"
threeAxis,2019-10-24 11:08:02.902 PM,"61,4,-1031"
acceleration,2019-10-24 11:08:01.865 PM,active
threeAxis,2019-10-24 11:08:01.861 PM,"2,57,-762"
acceleration,2019-10-24 11:06:50.799 PM,inactive
contact,2019-10-24 11:06:45.735 PM,closed
status,2019-10-24 11:06:45.731 PM,closed
threeAxis,2019-10-24 11:06:44.789 PM,"101,-37,-1036"
threeAxis,2019-10-24 11:06:43.800 PM,"85,2,-1028"
threeAxis,2019-10-24 11:06:42.830 PM,"108,-20,-1030"
threeAxis,2019-10-24 11:06:41.780 PM,"-2,-34,-1029"
acceleration,2019-10-24 11:06:40.778 PM,active
threeAxis,2019-10-24 11:06:40.776 PM,"-106,-51,-1071"
contact,2019-10-24 11:06:40.633 PM,open
status,2019-10-24 11:06:40.631 PM,open
temperature,2019-10-24 9:19:38.789 PM,64
acceleration,2019-10-24 9:05:54.411 PM,inactive
threeAxis,2019-10-24 9:05:51.440 PM,"52,1,-1029"
threeAxis,2019-10-24 9:05:50.430 PM,"56,4,-1033"
threeAxis,2019-10-24 9:05:49.420 PM,"62,5,-1029"
threeAxis,2019-10-24 9:05:48.420 PM,"80,2,-1012"
contact,2019-10-24 9:05:47.970 PM,closed
status,2019-10-24 9:05:47.967 PM,closed
threeAxis,2019-10-24 9:05:47.445 PM,"53,-31,-1029"
threeAxis,2019-10-24 9:05:46.400 PM,"68,-15,-1033"
threeAxis,2019-10-24 9:05:45.400 PM,"39,-21,-1025"
acceleration,2019-10-24 9:05:44.389 PM,active
threeAxis,2019-10-24 9:05:44.387 PM,"-447,-4,-1046"
contact,2019-10-24 9:05:44.302 PM,open
status,2019-10-24 9:05:44.300 PM,open
acceleration,2019-10-24 9:05:08.695 PM,inactive
threeAxis,2019-10-24 9:05:06.716 PM,"54,3,-1032"
threeAxis,2019-10-24 9:05:05.714 PM,"50,1,-1029"
threeAxis,2019-10-24 9:05:04.708 PM,"49,5,-1031"
threeAxis,2019-10-24 9:05:03.700 PM,"93,-1,-1028"
threeAxis,2019-10-24 9:05:02.690 PM,"-62,2,-1038"
contact,2019-10-24 9:05:02.433 PM,closed
status,2019-10-24 9:05:02.431 PM,closed
threeAxis,2019-10-24 9:05:01.685 PM,"64,-30,-1032"
