,temperature_sensorA,acceleration_sensorA,status_sensorA,motion_sensorB,motion_sensorC,temperature_sensorC,humidity_sensorC,illuminance_sensorC,time,temperature_sensorB
340,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 12:58:31.340 PM,70.0
341,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 12:58:31.340 PM,70.0
342,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 12:58:44.661 PM,70.0
343,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 12:58:48.510 PM,70.0
344,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 12:59:00.561 PM,70.0
345,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 12:59:00.561 PM,70.0
346,70,inactive,closed,active,inactive,70,62,4,2019-10-20 12:59:16.390 PM,70.0
347,70,inactive,closed,active,inactive,70,62,4,2019-10-20 12:59:16.390 PM,70.0
348,70,inactive,closed,active,active,70,62,4,2019-10-20 12:59:16.802 PM,70.0
349,70,inactive,closed,active,active,70,62,4,2019-10-20 12:59:16.802 PM,70.0
350,70,inactive,open,active,active,70,62,4,2019-10-20 12:59:25.639 PM,70.0
351,70,active,open,active,active,70,62,4,2019-10-20 12:59:31.859 PM,70.0
352,70,active,closed,active,active,70,62,4,2019-10-20 12:59:35.538 PM,70.0
353,70,active,closed,inactive,active,70,62,4,2019-10-20 12:59:35.730 PM,70.0
354,70,active,closed,inactive,active,70,62,4,2019-10-20 12:59:35.730 PM,70.0
355,70,active,closed,active,active,70,62,4,2019-10-20 12:59:38.130 PM,70.0
356,70,active,closed,active,active,70,62,4,2019-10-20 12:59:38.130 PM,70.0
357,70,inactive,closed,active,active,70,62,4,2019-10-20 12:59:41.930 PM,70.0
358,70,inactive,closed,active,inactive,70,62,4,2019-10-20 12:59:48.661 PM,70.0
359,70,inactive,closed,active,inactive,70,62,4,2019-10-20 12:59:48.661 PM,70.0
360,70,inactive,open,active,inactive,70,62,4,2019-10-20 12:59:49.140 PM,70.0
361,70,active,open,active,inactive,70,62,4,2019-10-20 12:59:51.940 PM,70.0
362,70,active,closed,active,inactive,70,62,4,2019-10-20 12:59:55.836 PM,70.0
363,70,active,closed,active,active,70,62,4,2019-10-20 12:59:57.271 PM,70.0
364,70,active,closed,active,active,70,62,4,2019-10-20 12:59:57.271 PM,70.0
365,70,inactive,closed,active,active,70,62,4,2019-10-20 1:00:01.951 PM,70.0
366,70,inactive,closed,inactive,active,70,62,4,2019-10-20 1:00:09.027 PM,70.0
367,70,inactive,closed,inactive,active,70,62,4,2019-10-20 1:00:09.027 PM,70.0
368,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 1:00:26.771 PM,70.0
369,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 1:00:26.771 PM,70.0
370,70,inactive,open,inactive,inactive,70,62,4,2019-10-20 1:01:40.966 PM,70.0
371,70,active,open,inactive,inactive,70,62,4,2019-10-20 1:01:43.332 PM,70.0
372,70,active,open,active,inactive,70,62,4,2019-10-20 1:01:44.709 PM,70.0
373,70,active,open,active,inactive,70,62,4,2019-10-20 1:01:44.709 PM,70.0
374,70,active,closed,active,inactive,70,62,4,2019-10-20 1:01:44.818 PM,70.0
375,70,active,closed,active,active,70,62,4,2019-10-20 1:01:50.061 PM,70.0
376,70,active,closed,active,active,70,62,4,2019-10-20 1:01:50.061 PM,70.0
377,70,inactive,closed,active,active,70,62,4,2019-10-20 1:01:53.320 PM,70.0
378,70,inactive,open,active,active,70,62,4,2019-10-20 1:02:51.691 PM,70.0
379,70,active,open,active,active,70,62,4,2019-10-20 1:02:51.723 PM,70.0
380,70,active,closed,active,active,70,62,4,2019-10-20 1:02:56.990 PM,70.0
381,70,inactive,closed,active,active,70,62,4,2019-10-20 1:03:01.760 PM,70.0
382,70,inactive,open,active,active,70,62,4,2019-10-20 1:03:38.000 PM,70.0
383,70,active,open,active,active,70,62,4,2019-10-20 1:03:38.193 PM,70.0
384,70,inactive,open,active,active,70,62,4,2019-10-20 1:03:48.209 PM,70.0
385,70,active,open,active,active,70,62,4,2019-10-20 1:04:07.173 PM,70.0
386,70,active,closed,active,active,70,62,4,2019-10-20 1:04:09.105 PM,70.0
387,70,active,closed,inactive,active,70,62,4,2019-10-20 1:04:16.135 PM,70.0
388,70,active,closed,inactive,active,70,62,4,2019-10-20 1:04:16.135 PM,70.0
389,70,inactive,closed,inactive,active,70,62,4,2019-10-20 1:04:17.228 PM,70.0
390,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 1:04:35.521 PM,70.0
391,70,inactive,closed,inactive,inactive,70,62,4,2019-10-20 1:04:35.521 PM,70.0
392,70,inactive,closed,inactive,inactive,71.7,62,4,2019-10-20 1:05:15.931 PM,70.0
393,70,inactive,closed,inactive,inactive,71.7,62,4,2019-10-20 1:05:15.931 PM,70.0
394,70,inactive,closed,inactive,inactive,71.7,61,4,2019-10-20 1:05:20.381 PM,70.0
395,70,inactive,closed,inactive,inactive,71.7,61,4,2019-10-20 1:05:20.381 PM,70.0
396,70,inactive,closed,inactive,inactive,71.7,61,5,2019-10-20 1:05:25.521 PM,70.0
397,70,inactive,closed,inactive,inactive,71.7,61,5,2019-10-20 1:05:25.521 PM,70.0
398,70,inactive,closed,active,inactive,71.7,61,5,2019-10-20 1:08:23.440 PM,70.0
399,70,inactive,closed,active,inactive,71.7,61,5,2019-10-20 1:08:23.440 PM,70.0
400,70,inactive,closed,active,active,71.7,61,5,2019-10-20 1:08:25.961 PM,70.0
401,70,inactive,closed,active,active,71.7,61,5,2019-10-20 1:08:25.961 PM,70.0
402,70,inactive,closed,inactive,active,71.7,61,5,2019-10-20 1:08:46.000 PM,70.0
403,70,inactive,closed,inactive,active,71.7,61,5,2019-10-20 1:08:46.000 PM,70.0
404,70,inactive,closed,inactive,inactive,71.7,61,5,2019-10-20 1:09:02.721 PM,70.0
405,70,inactive,closed,inactive,inactive,71.7,61,5,2019-10-20 1:09:02.721 PM,70.0
406,70,inactive,closed,inactive,inactive,72.2,61,5,2019-10-20 1:13:17.022 PM,70.0
407,70,inactive,closed,inactive,inactive,72.2,61,5,2019-10-20 1:13:17.022 PM,70.0
408,70,inactive,closed,inactive,inactive,72.2,63,5,2019-10-20 1:13:17.291 PM,70.0
409,70,inactive,closed,inactive,inactive,72.2,63,5,2019-10-20 1:13:17.291 PM,70.0
410,70,inactive,closed,inactive,inactive,72.2,63,4,2019-10-20 1:13:18.201 PM,70.0
411,70,inactive,closed,inactive,inactive,72.2,63,4,2019-10-20 1:13:18.201 PM,70.0
412,70,inactive,closed,inactive,inactive,72.5,63,4,2019-10-20 1:21:17.801 PM,70.0
413,70,inactive,closed,inactive,inactive,72.5,63,4,2019-10-20 1:21:17.801 PM,70.0
414,70,inactive,closed,inactive,inactive,72.5,62,4,2019-10-20 1:21:22.291 PM,70.0
415,70,inactive,closed,inactive,inactive,72.5,62,4,2019-10-20 1:21:22.291 PM,70.0
416,70,inactive,closed,inactive,inactive,72.5,62,5,2019-10-20 1:21:27.501 PM,70.0
417,70,inactive,closed,inactive,inactive,72.5,62,5,2019-10-20 1:21:27.501 PM,70.0
418,70,inactive,closed,inactive,inactive,72.6,62,5,2019-10-20 1:29:18.721 PM,70.0
419,70,inactive,closed,inactive,inactive,72.6,62,5,2019-10-20 1:29:18.721 PM,70.0
420,70,inactive,closed,inactive,inactive,72.6,62,4,2019-10-20 1:29:28.381 PM,70.0
421,70,inactive,closed,inactive,inactive,72.6,62,4,2019-10-20 1:29:28.381 PM,70.0
422,70,inactive,closed,inactive,inactive,72.7,62,4,2019-10-20 1:37:19.722 PM,70.0
423,70,inactive,closed,inactive,inactive,72.7,62,4,2019-10-20 1:37:19.722 PM,70.0
424,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:37:25.091 PM,70.0
425,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:37:25.091 PM,70.0
426,70,inactive,closed,inactive,inactive,72.7,62,4,2019-10-20 1:45:30.401 PM,70.0
427,70,inactive,closed,inactive,inactive,72.7,62,4,2019-10-20 1:45:30.401 PM,70.0
428,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:53:31.241 PM,70.0
429,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:53:31.241 PM,70.0
430,70,inactive,open,inactive,inactive,72.7,62,5,2019-10-20 1:54:04.471 PM,70.0
431,70,inactive,open,inactive,active,72.7,62,5,2019-10-20 1:54:07.631 PM,70.0
432,70,inactive,open,inactive,active,72.7,62,5,2019-10-20 1:54:07.631 PM,70.0
433,70,active,open,inactive,active,72.7,62,5,2019-10-20 1:54:09.253 PM,70.0
434,70,active,open,active,active,72.7,62,5,2019-10-20 1:54:09.430 PM,70.0
435,70,active,open,active,active,72.7,62,5,2019-10-20 1:54:09.430 PM,70.0
436,70,active,closed,active,active,72.7,62,5,2019-10-20 1:54:09.570 PM,70.0
437,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:54:19.270 PM,70.0
438,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:54:40.170 PM,70.0
439,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:54:40.170 PM,70.0
440,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:54:58.112 PM,70.0
441,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:54:58.112 PM,70.0
442,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:55:01.535 PM,70.0
443,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:55:01.535 PM,70.0
444,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:55:03.911 PM,70.0
445,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:55:03.911 PM,70.0
446,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:55:04.231 PM,70.0
447,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:55:04.231 PM,70.0
448,70,inactive,open,active,active,72.7,62,5,2019-10-20 1:55:29.532 PM,70.0
449,70,active,open,active,active,72.7,62,5,2019-10-20 1:55:29.687 PM,70.0
450,70,active,closed,active,active,72.7,62,5,2019-10-20 1:55:32.981 PM,70.0
451,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:55:39.710 PM,70.0
452,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:55:43.905 PM,70.0
453,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:55:43.905 PM,70.0
454,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:55:54.231 PM,70.0
455,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:55:54.231 PM,70.0
456,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:56:06.070 PM,70.0
457,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:56:06.070 PM,70.0
458,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:56:09.331 PM,70.0
459,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:56:09.331 PM,70.0
