,temperature_sensorA,acceleration_sensorA,status_sensorA,motion_sensorB,motion_sensorC,temperature_sensorC,humidity_sensorC,illuminance_sensorC,time,temperature_sensorB,simulated_temperature
340,70,inactive,closed,inactive,inactive,70,62,4,58:31.3,70,70
341,70,inactive,closed,inactive,inactive,70,62,4,58:31.3,70,70
342,70,inactive,closed,inactive,inactive,70,62,4,58:44.7,70,70
343,70,inactive,closed,inactive,inactive,70,62,4,58:48.5,70,70
344,70,inactive,closed,inactive,inactive,70,62,4,59:00.6,70,70
345,70,inactive,closed,inactive,inactive,70,62,4,59:00.6,70,70
346,70,inactive,closed,active,inactive,70,62,4,59:16.4,70,70
347,70,inactive,closed,active,inactive,70,62,4,59:16.4,70,70
348,70,inactive,closed,active,active,70,62,4,59:16.8,70,70
349,70,inactive,closed,active,active,70,62,4,59:16.8,70,70
350,70,inactive,open,active,active,70,62,4,59:25.6,70,70
351,70,active,open,active,active,70,62,4,59:31.9,70,70
352,70,active,closed,active,active,70,62,4,59:35.5,70,70
353,70,active,closed,inactive,active,70,62,4,59:35.7,70,70
354,70,active,closed,inactive,active,70,62,4,59:35.7,70,70
355,70,active,closed,active,active,70,62,4,59:38.1,70,70
356,70,active,closed,active,active,70,62,4,59:38.1,70,70
357,70,inactive,closed,active,active,70,62,4,59:41.9,70,70
358,70,inactive,closed,active,inactive,70,62,4,59:48.7,70,70
359,70,inactive,closed,active,inactive,70,62,4,59:48.7,70,70
360,70,inactive,open,active,inactive,70,62,4,59:49.1,70,70
361,70,active,open,active,inactive,70,62,4,59:51.9,70,70
362,70,active,closed,active,inactive,70,62,4,59:55.8,70,70
363,70,active,closed,active,active,70,62,4,59:57.3,70,70
364,70,active,closed,active,active,70,62,4,59:57.3,70,70
365,70,inactive,closed,active,active,70,62,4,00:02.0,70,70
366,70,inactive,closed,inactive,active,70,62,4,00:09.0,70,70
367,70,inactive,closed,inactive,active,70,62,4,00:09.0,70,70
368,70,inactive,closed,inactive,inactive,70,62,4,00:26.8,70,70
369,70,inactive,closed,inactive,inactive,70,62,4,00:26.8,70,70
370,70,inactive,open,inactive,inactive,70,62,4,01:41.0,70,70
371,70,active,open,inactive,inactive,70,62,4,01:43.3,70,70
